,rouble,date
29,,2022-12-25
28,,2022-12-26
27,68.4487,2022-12-27
26,69.9346,2022-12-28
25,71.3261,2022-12-29
24,71.9778,2022-12-30
23,70.3375,2022-12-31
22,,2023-01-01
21,,2023-01-02
20,,2023-01-03
19,,2023-01-04
18,,2023-01-05
17,,2023-01-06
16,,2023-01-07
15,,2023-01-08
14,,2023-01-09
13,70.3002,2023-01-10
12,69.6094,2023-01-11
11,69.0202,2023-01-12
10,67.7775,2023-01-13
9,67.5744,2023-01-14
8,,2023-01-15
7,,2023-01-16
6,68.2892,2023-01-17
5,68.6644,2023-01-18
4,68.8728,2023-01-19
3,68.8467,2023-01-20
2,68.6656,2023-01-21
1,,2023-01-22
0,,2023-01-23
